rain forests	http://purl.obolibrary.org/obo/ENVO_01000228
Jungle	http://purl.obolibrary.org/obo/ENVO_01000228
coniferous forest	http://purl.obolibrary.org/obo/ENVO_01000196
equatorial forest	http://purl.obolibrary.org/obo/ENVO_01000174
monsoon forests	http://purl.obolibrary.org/obo/ENVO_00000879
thornforest	http://purl.obolibrary.org/obo/ENVO_01000174
reforested areas	http://purl.obolibrary.org/obo/ENVO_01000174

Note: per https://eol-jira.bibalex.org/browse/DATA-1739?focusedCommentId=64619&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-64619
seamounts	http://purl.obolibrary.org/obo/ENVO_00000264
seamount	http://purl.obolibrary.org/obo/ENVO_00000264
seamount chain	http://purl.obolibrary.org/obo/ENVO_00000264
range of seamounts	http://purl.obolibrary.org/obo/ENVO_00000264
