t.uri	pref.uri
http://eol.org/schema/terms/ResproutYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/veneerYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/navalStoreYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/postProductYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/christmasTreeYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/berryNutSeedYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/nurseryStockYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/lumberYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/fodderYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/pulpwoodYes	http://eol.org/schema/terms/yes
http://eol.org/schema/terms/mangroves	http://purl.obolibrary.org/obo/ENVO_01000181
http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/RO_0002303
http://www.marineregions.org/gazetteer.php?p=details&id=mexico	http://www.geonames.org/3996063
http://www.marineregions.org/gazetteer.php?p=details&id=indonesia	http://www.geonames.org/1643084
http://www.marineregions.org/gazetteer.php?p=details&id=united_states	http://www.geonames.org/6252001
http://eol.org/schema/terms/PlantHabit	http://purl.obolibrary.org/obo/FLOPO_0900032

For Environments-EOL: https://eol-jira.bibalex.org/browse/DATA-1739?focusedCommentId=64564&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-64564
http://purl.obolibrary.org/obo/ENVO_00000047	http://purl.obolibrary.org/obo/ENVO_01001240
http://purl.obolibrary.org/obo/ENVO_01001242	http://purl.obolibrary.org/obo/ENVO_01001240

For PaleoDB: https://eol-jira.bibalex.org/browse/DATA-1831?focusedCommentId=64616&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-64616
http://eol.org/schema/terms/arboreal	http://purl.obolibrary.org/obo/ENVO_00000571

http://purl.obolibrary.org/obo/ECOCORE_00000013 ---REMOVED--- http://purl.obolibrary.org/obo/ECOCORE_00000130
http://www.wikidata.org/entity/Q50621879	http://eol.org/schema/terms/photosymbiotroph

From: https://eol-jira.bibalex.org/secure/attachment/74319/ALL_remap_replace_remove.txt
http://purl.obolibrary.org/obo/ENVO_00000264 ---REMOVED--- http://purl.obolibrary.org/obo/ENVO_01000342
http://purl.obolibrary.org/obo/ENVO_00000550 ---REMOVED--- http://purl.obolibrary.org/obo/ENVO_01000342

http://purl.obolibrary.org/obo/ENVO_00000303	http://purl.obolibrary.org/obo/ENVO_01000687
http://purl.obolibrary.org/obo/ENVO_00000144	http://purl.obolibrary.org/obo/ENVO_00002030
http://purl.obolibrary.org/obo/ENVO_00000569	http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_00002009	http://purl.obolibrary.org/obo/ENVO_00000446
http://purl.obolibrary.org/obo/ENVO_00000015	http://purl.obolibrary.org/obo/ENVO_00000447
http://purl.obolibrary.org/obo/ENVO_00002227	http://purl.obolibrary.org/obo/ENVO_00002010
http://purl.obolibrary.org/obo/ENVO_00000360	http://purl.obolibrary.org/obo/ENVO_01000174
http://purl.obolibrary.org/obo/ENVO_00000106	http://purl.obolibrary.org/obo/ENVO_01000177
http://purl.obolibrary.org/obo/ENVO_00002011	http://purl.obolibrary.org/obo/ENVO_00000873
http://purl.obolibrary.org/obo/ENVO_00002037	http://purl.obolibrary.org/obo/ENVO_00000873
http://purl.obolibrary.org/obo/ENVO_00000111	http://purl.obolibrary.org/obo/ENVO_01000174
http://purl.obolibrary.org/obo/ENVO_00000045	http://purl.obolibrary.org/obo/ENVO_01000020
http://purl.obolibrary.org/obo/ENVO_00000097	http://purl.obolibrary.org/obo/ENVO_01000179
http://purl.obolibrary.org/obo/ENVO_00000030	http://purl.obolibrary.org/obo/ENVO_00000067
http://purl.obolibrary.org/obo/ENVO_00000150	http://purl.obolibrary.org/obo/ENVO_01000049
